순위, 이름,대표소환사명,최근 소속,M,W,L,승률,TK(,TD,TA,K/M,D/M,A/M,KDA,킬관여
79,윤성환,SeongHwan,Gen.G e-sports,153,72,81,0.471,234,364,852,1.5,2.4,5.6,3,0.73
80,김기범,Bono,kt rolster,163,72,91,0.442,241,397,923,1.5,2.4,5.7,2.9,0.715
81,김재연,Dove,SANDBOX Gaming,141,72,69,0.511,360,259,599,2.6,1.8,4.2,3.7,0.662
82,최현준,Doran,DragonX,110,72,38,0.655,272,276,519,2.5,2.5,4.7,2.9,0.582
83,최인규,Dandy,Samsung White,109,71,38,0.651,319,309,950,2.9,2.8,8.7,4.1,0.677
84,구승빈,imp,JD Gaming,109,71,38,0.651,578,254,708,5.3,2.3,6.5,5.1,0.657
85,구본택,Expession,Longzhu Gaming,171,71,100,0.415,368,418,784,2.2,2.4,4.6,2.8,0.6
86,엄성현,UmTi,KT Rolster,186,71,115,0.382,345,472,881,1.9,2.5,4.7,2.6,0.676
87,함장식,Lustboy,Team SoloMid,113,70,43,0.619,102,309,1128,0.9,2.7,10,4,0.72
88,이호종,Flame,DAMWON Gaming,130,70,60,0.538,418,317,741,3.2,2.4,5.7,3.7,0.645
89,김재희,Crazy,SK Telecom T1,217,70,147,0.323,349,396,797,1.6,1.8,3.7,2.9,0.571
90,김진선,Pure,VSG,141,69,72,0.489,71,328,1059,0.5,2.3,7.5,3.4,0.696
91,유병준,Ggoong,Team Dynamics,126,65,61,0.516,499,298,691,4,2.4,5.5,4,0.679
92,박의진,Untara,Griffin,141,64,77,0.454,229,327,637,1.6,2.3,4.5,2.6,0.612
93,정언영,impact,Team Liquid,91,63,28,0.692,287,241,715,3.2,2.6,7.9,4.2,0.651
94,이병권,KaKAO,SRB,107,63,44,0.589,266,302,890,2.5,2.8,8.3,3.8,0.656
95,이상현,Chaser,Longzhu Gaming,148,63,85,0.426,333,347,1008,2.3,2.3,6.8,3.9,0.769
96,신동진,Helios,Team Dignitas,102,62,40,0.608,189,308,765,1.9,3,7.5,3.1,0.632
97,류상욱,Ryu,100 Thieves,101,60,41,0.594,448,282,638,4.4,2.8,6.3,3.9,0.684
98,남태유,lira,Clutch Gaming,132,60,72,0.455,301,338,769,2.3,2.6,5.8,3.2,0.722
99,류민석,Keria,DragonX,90,60,30,0.667,71,175,773,0.8,1.9,8.6,4.8,0.703
100,홍창현,Pyosik,DragonX,90,60,30,0.667,228,179,606,2.5,2,6.7,4.7,0.714
101,원상연,Mafa,KT Rolster,99,59,40,0.596,90,259,1015,0.9,2.6,10.3,4.3,0.725
102,박권혁,Thal,SRB,125,59,66,0.472,227,257,475,1.8,2.1,3.8,2.7,0.593
103,오현식,MaHa,MVP,151,57,94,0.377,378,325,663,2.5,2.2,4.4,3.2,0.638
104,조재읍,Joker,SANDBOX Gaming,101,57,44,0.564,50,303,662,0.5,3,6.6,2.3,0.636
105,이현우,CloudTemplar,CJ Entus,95,55,40,0.579,163,297,880,1.7,3.1,9.3,3.5,0.689
106,채광진,Piglet,Team Liquid,74,53,21,0.716,373,143,475,5,1.9,6.4,5.9,0.653
107,장누리,Cain,Najin e-mFire,95,52,43,0.547,91,232,903,1,2.4,9.5,4.3,0.686
108,이정현,PoohManDu,SK Telecom T1,82,52,30,0.634,84,253,889,1,3.1,10.8,3.8,0.7
109,이호진,Lee,ROX Tigers,73,52,21,0.712,141,171,667,1.9,2.3,9.1,4.7,0.7
110,김창동,Canna,T1,76,52,24,0.684,210,118,415,2.8,1.6,5.5,5.3,0.654
111,정민성,RapidStar,CJ Entus,84,48,36,0.571,365,232,580,4.3,2.8,6.9,4.1,0.707
112,김상문,Nagne,KT Rolster,91,48,43,0.527,333,206,424,3.7,2.3,4.7,3.7,0.663
113,박태진,Winged,CJ Entus,98,47,51,0.48,168,177,510,1.7,1.8,5.2,3.8,0.683
114,오규민,Ohq,Najin e-mFire,92,46,46,0.5,403,173,455,4.4,1.9,4.9,5,0.678
115,박기선,Secret,APK Prince,186,46,140,0.247,91,558,964,0.5,3,5.2,1.9,0.666
116,이지훈,Easyhoon,Vici Gaming,89,45,44,0.506,338,206,483,3.8,2.3,5.4,4,0.676
117,최현웅,Bless,bbq olivers,135,45,90,0.333,225,350,555,1.7,2.6,4.1,2.2,0.648
118,이진혁,Dread,Afreeca Freecs,100,45,55,0.45,221,301,542,2.2,3,5.4,2.5,0.699
119,이창석,Ganked by mom,BAUSuperMassive eSports,97,44,53,0.454,364,218,513,3.8,2.2,5.3,4,0.691
120,이진용,Fury,APK Prince,129,42,87,0.326,368,282,572,2.9,2.2,4.4,3.3,0.702
121,이동근,IgNar,bbq olivers,132,40,92,0.303,71,277,749,0.5,2.1,5.7,3,0.664
122,김태일,Frozen,1907 Fenerbahçe,106,39,67,0.368,307,230,437,2.9,2.2,4.1,3.2,0.679
123,최인석,inSec,Winners,72,38,34,0.528,214,237,532,3,3.3,7.4,3.1,0.643
124,윤하운,MakNooN,Najin E-mpire,60,37,23,0.617,195,207,438,3.3,3.5,7.3,3.1,0.644
125,이관형,Heart,Samsung Blue,73,37,36,0.507,87,265,760,1.2,3.6,10.4,3.2,0.686
126,최천주,Acorn,LGD gaming,73,37,36,0.507,226,227,537,3.1,3.1,7.4,3.4,0.622
127,김강희,Roach,T1,126,37,89,0.294,194,297,409,1.5,2.4,3.2,2,0.538
128,이동우,Crash,Hong Kong Attitude,74,37,37,0.5,198,181,346,2.7,2.4,4.7,3,0.687
129,장형석,Looper,Royal Never Give Up,51,36,15,0.706,141,88,366,2.8,1.7,7.2,5.8,0.588
130,허승훈,Huni,Clutch Gaming,54,36,18,0.667,137,129,306,2.5,2.4,5.7,3.4,0.584
131,이찬주,Grace,Jin Air Greenwings,143,36,107,0.252,273,302,478,1.9,2.1,3.3,2.5,0.636
132,전호진,Lil4c,Longzhu IM,96,35,61,0.365,238,371,515,2.5,3.9,5.4,2,0.646
133,윤성영,Homme,Samsung White,58,35,23,0.603,147,161,468,2.5,2.8,8.1,3.8,0.627
134,김상수,Ssong,Najin E-mpire,60,35,25,0.583,265,164,413,4.4,2.7,6.9,4.1,0.717
135,백영진,SAVE,NaJin W Shield,73,35,38,0.479,238,205,360,3.3,2.8,4.9,2.9,0.599
136,진성준,Mystic,Afreeca Freecs,82,35,47,0.427,285,206,340,3.5,2.5,4.1,3,0.659
137,장건웅,Woong,CJ Entus,58,34,24,0.586,260,141,396,4.5,2.4,6.8,4.7,0.726
138,이종범,Piccaboo,KT Rolster,54,34,20,0.63,46,149,477,0.9,2.8,8.8,3.5,0.716
139,이재민,Zefa,Najin e-mFire,64,33,31,0.516,230,153,346,3.6,2.4,5.4,3.8,0.64
140,이호성,Edge,MVP,137,33,104,0.241,325,278,459,2.4,2,3.4,2.8,0.698
141,은종섭,Totoro,SANDBOX Gaming,102,33,69,0.324,45,223,577,0.4,2.2,5.7,2.8,0.639
142,서진솔,SS,Afreeca Freecs,142,32,110,0.225,318,294,480,2.2,2.1,3.4,2.7,0.684
143,김도엽,GuGer,Team Dynamics,116,31,85,0.267,59,333,624,0.5,2.9,5.4,2.1,0.661
144,성연준,Flawless,APK Prince,109,31,78,0.284,178,339,460,1.6,3.1,4.2,1.9,0.682
145,박희석,Senan,Jin Air,58,30,28,0.517,34,172,365,0.6,3,6.3,2.3,0.61
146,복한규,Reapered,Jin Air Greenwings,51,29,22,0.569,174,177,297,3.4,3.5,5.8,2.7,0.642
147,조재환,H0R0,SKT T1 S,58,28,30,0.483,120,140,379,2.1,2.4,6.5,3.6,0.688
148,손민혁,Punch,SANDBOX Gaming,75,28,47,0.373,145,194,361,1.9,2.6,4.8,2.6,0.731
149,문검수,Route,SANDBOX Gaming,130,28,102,0.215,318,281,430,2.4,2.2,3.3,2.7,0.659
150,김강윤,Trick,bbq olivers,79,27,52,0.342,109,181,372,1.4,2.3,4.7,2.7,0.742
151,손호경,Jelly,Afreeca Freecs,67,26,41,0.388,50,193,419,0.7,2.9,6.3,2.4,0.647
152,이재하,Mowgli,Afreeca Freecs,40,24,16,0.6,62,66,227,1.6,1.7,5.7,4.4,0.702
153,유내현,NaeHyun,Griffin,50,24,26,0.48,127,89,236,2.5,1.8,4.7,4.1,0.637
154,최현일,Paragon,Longzhu IM,52,23,29,0.442,202,125,319,3.9,2.4,6.1,4.2,0.672
155,김태완,Wisdom,ROX Tigers,47,23,24,0.489,88,135,289,1.9,2.9,6.1,2.8,0.664
156,강경민,Daydream,CJ Entus,44,22,22,0.5,88,135,322,2,3.1,7.3,3,0.69
157,정재우,Fixer,KT Rolster,38,21,17,0.553,30,101,346,0.8,2.7,9.1,3.7,0.73
158,서준철,Eve,Samsung Galaxy,72,21,51,0.292,151,195,391,2.1,2.7,5.4,2.8,0.727
159,류호성,Hoit,DAMWON Gaming,44,21,23,0.477,22,97,314,0.5,2.2,7.1,3.5,0.674
160,이우진,HyBrid,APK Prince,64,21,43,0.328,243,154,188,3.8,2.4,2.9,2.8,0.64
161,정노철,NoFe,Najin E-mpire,60,20,40,0.333,90,201,474,1.5,3.4,7.9,2.8,0.681
162,임경현,Ragan,Xenics Storm,32,20,12,0.625,103,92,224,3.2,2.9,7,3.6,0.608
163,김진현,Emperor,Longzhu Gaming,42,20,22,0.476,150,112,220,3.6,2.7,5.2,3.3,0.668
164,김남훈,Hoon,TmT,47,19,28,0.404,176,140,285,3.7,3,6.1,3.3,0.733
165,송의진,Rookie,INVICTUS GAMING,31,19,12,0.613,141,74,259,4.5,2.4,8.4,5.4,0.729
166,이은택,Sweet,Jin Air Greenwings,35,19,16,0.543,25,103,331,0.7,2.9,9.5,3.5,0.761
167,박준형,bubbling,CJ Entus,47,19,28,0.404,61,125,251,1.3,2.7,5.3,2.5,0.651
168,박용우,Haiakan,MKZ,53,18,35,0.34,206,158,273,3.9,3,5.2,3,0.686
169,박찬호,Nova,SRB,70,18,52,0.257,28,158,275,0.4,2.3,3.9,1.9,0.597
